"activityId","hasActivityType","hasLocation","hasTemporalExtent"
"A_POWG_BE","A_POWG","BE",2011
"A_POWN_BE","A_POWN","BE",2011
"A_POWH_BE","A_POWH","BE",2011
"A_POWW_BE","A_POWW","BE",2011
"A_POWP_BE","A_POWP","BE",2011
"A_POWB_BE","A_POWB","BE",2011
"A_POWS_BE","A_POWS","BE",2011
"A_POWZ_BE","A_POWZ","BE",2011
"A_POWT_BE","A_POWT","BE",2011
"A_POWD_BE","A_POWD","BE",2011
"A_GASD_BE","A_GASD","BE",2011
"A_HWAT_BE","A_HWAT","BE",2011
"A_WATR_BE","A_WATR","BE",2011
"A_CONS_BE","A_CONS","BE",2011
"A_CONW_BE","A_CONW","BE",2011
"A_TDMO_BE","A_TDMO","BE",2011
"A_TDFU_BE","A_TDFU","BE",2011
"A_TDWH_BE","A_TDWH","BE",2011
"A_TDRT_BE","A_TDRT","BE",2011
"A_HORE_BE","A_HORE","BE",2011
"A_TRAI_BE","A_TRAI","BE",2011
"A_TLND_BE","A_TLND","BE",2011
"A_TPIP_BE","A_TPIP","BE",2011
"A_TWAS_BE","A_TWAS","BE",2011
"A_TWAI_BE","A_TWAI","BE",2011
"A_TAIR_BE","A_TAIR","BE",2011
"A_TAUX_BE","A_TAUX","BE",2011
"A_PTEL_BE","A_PTEL","BE",2011
"A_FINT_BE","A_FINT","BE",2011
"A_FINS_BE","A_FINS","BE",2011
"A_FAUX_BE","A_FAUX","BE",2011
"A_REAL_BE","A_REAL","BE",2011
"A_MARE_BE","A_MARE","BE",2011
"A_COMP_BE","A_COMP","BE",2011
"A_RESD_BE","A_RESD","BE",2011
"A_OBUS_BE","A_OBUS","BE",2011
"A_PADF_BE","A_PADF","BE",2011
"A_EDUC_BE","A_EDUC","BE",2011
"A_HEAL_BE","A_HEAL","BE",2011
"A_INCF_BE","A_INCF","BE",2011
"A_INCP_BE","A_INCP","BE",2011
"A_INCL_BE","A_INCL","BE",2011
"A_INCM_BE","A_INCM","BE",2011
"A_INCT_BE","A_INCT","BE",2011
"A_INCW_BE","A_INCW","BE",2011
"A_INCO_BE","A_INCO","BE",2011
"A_BIOF_BE","A_BIOF","BE",2011
"A_BIOP_BE","A_BIOP","BE",2011
"A_BIOS_BE","A_BIOS","BE",2011
"A_COMF_BE","A_COMF","BE",2011
"A_WASF_BE","A_WASF","BE",2011
"A_WASO_BE","A_WASO","BE",2011
"A_LANF_BE","A_LANF","BE",2011
"A_LANP_BE","A_LANP","BE",2011
"A_LANL_BE","A_LANL","BE",2011
"A_LANI_BE","A_LANI","BE",2011
"A_LANT_BE","A_LANT","BE",2011
"A_LANW_BE","A_LANW","BE",2011
"A_ORGA_BE","A_ORGA","BE",2011
"A_RECR_BE","A_RECR","BE",2011
"A_OSER_BE","A_OSER","BE",2011
"A_PRHH_BE","A_PRHH","BE",2011
"A_PARI_BR","A_PARI","BR",2011
"A_WHEA_BR","A_WHEA","BR",2011
"A_OCER_BR","A_OCER","BR",2011
"A_FVEG_BR","A_FVEG","BR",2011
"A_OILS_BR","A_OILS","BR",2011
"A_SUGB_BR","A_SUGB","BR",2011
"A_FIBR_BR","A_FIBR","BR",2011
"A_OTCR_BR","A_OTCR","BR",2011
"A_CATL_BR","A_CATL","BR",2011
"A_PIGS_BR","A_PIGS","BR",2011
"A_PLTR_BR","A_PLTR","BR",2011
"A_OMEA_BR","A_OMEA","BR",2011
"A_OANP_BR","A_OANP","BR",2011
"A_MILK_BR","A_MILK","BR",2011
"A_FORE_BR","A_FORE","BR",2011
"A_FISH_BR","A_FISH","BR",2011
"A_COAL_BR","A_COAL","BR",2011
"A_COIL_BR","A_COIL","BR",2011
"A_GASE_BR","A_GASE","BR",2011
"A_ORAN_BR","A_ORAN","BR",2011
"A_IRON_BR","A_IRON","BR",2011
"A_COPO_BR","A_COPO","BR",2011
"A_NIKO_BR","A_NIKO","BR",2011
"A_ALUO_BR","A_ALUO","BR",2011
"A_PREO_BR","A_PREO","BR",2011
"A_LZTO_BR","A_LZTO","BR",2011
"A_ONFO_BR","A_ONFO","BR",2011
"A_STON_BR","A_STON","BR",2011
"A_SDCL_BR","A_SDCL","BR",2011
"A_CHMF_BR","A_CHMF","BR",2011
"A_PCAT_BR","A_PCAT","BR",2011
"A_PPIG_BR","A_PPIG","BR",2011
"A_PPLT_BR","A_PPLT","BR",2011
"A_POME_BR","A_POME","BR",2011
"A_VOIL_BR","A_VOIL","BR",2011
"A_DAIR_BR","A_DAIR","BR",2011
"A_RICE_BR","A_RICE","BR",2011
"A_SUGR_BR","A_SUGR","BR",2011
